mssv,xeploai,ngaycapvb
882c1d7fxpvaibaexe9fwzbwscouqpudymrenqrr,giỏi,06/10/2017
83845261xpvaibaexe9hpqqhqoopyyvq0zhwjv2w,giỏi,06/10/2017
82eb45e9xpvaibaexe9esuilq3v71rlmofznu1bq,giỏi,06/10/2017
86251376xpvaibaexe+9gfx9awrorib/av3vncgb,giỏi,06/10/2017
dacfd4a5xpvaibaexe9xnw4t0gpgx+xvqv2s103w,giỏi,06/10/2017
bbad4f2bxpvaibaexe879+aog1gh8vgaqyz3wjar,giỏi,06/10/2017
1874573axpvaibaexe/fejqn8/s5flmlj8y3qj+f,giỏi,06/10/2017
30f6c945xpvaibaexe/lh6v1xxtkjvd20kccxwaq,giỏi,06/10/2017
ac1d5cb1xpvaibaexe+bhzka9xggxbbgkpwysdh1,giỏi,06/10/2017
6bb4fbf8xpvaibaexe/xbblewrhgqyrcodpvca+j,giỏi,06/10/2017
538fdefexpvaibaexe9p07hcrvmhce3unm2xvnxe,giỏi,06/10/2017
f309234expvaibaexe/ykalync3m9+ibo6izj0cn,giỏi,06/10/2017
a2233613xpvaibaexe+/ekvxk98kbs5ipe6z9qpe,giỏi,06/10/2017
a983754axpvaibaexe/k6d36/fqcedltfj1dnngv,giỏi,06/10/2017
bc40304fxpvaibaexe/k6d36/fqceefqqtlar3/b,giỏi,06/10/2017
5b6eee16xpvaibaexe/pgaannwvbukb+697alta7,giỏi,06/10/2017
1c23eab7xpvaibaexe/hrmbtv6rcht56wljoo8h/,khá,06/10/2017
ddb9e00cxpvaibaexe/xn8kzjn44cdzndzzd5biq,khá,06/10/2017
52a13a56xpvaibaexe8y+/3ur2pktbzkglmhndae,xuất sắc,21/11/2017
6f75613cxpvaibaexe8/3inqysorbxrmfjiedct7,giỏi,21/11/2017
082ca1bdxpvaibaexe9h45nafhfkygxejbiywnsm,giỏi,21/11/2017
702d2cf3xpvaibaexe8ooyk4mkugma64z/ilp3mb,giỏi,21/11/2017
e99e9ea2xpvaibaexe+llvbxzunmjfoikyw9ng8u,giỏi,21/11/2017
fc77e598xpvaibaexe879+aog1gh8pb/q8kzj2a3,giỏi,21/11/2017
0375f69fxpvaibaexe9jdumjpcat8kzhyz2esjwx,khá,21/11/2017
77af8f32xpvaibaexe8k9ad0yxzupoj2oi/ufm4b,giỏi,21/11/2017
57203f91xpvaibaexe9jdlha4z2ghfhvj5vtrj7d,khá,21/11/2017
c5ab8e67xpvaibaexe+5f3nhbx2eh0f3gdayami1,khá,21/11/2017
29430069xpvaibaexe+tfgedwynnvuaz/itejr3k,khá,21/11/2017
d3cf8a69xpvaibaexe9/su+qlcydmsexwfkodzkh,khá,21/11/2017
b2204322xpvaibaexe/sxwnrab2vgcfsjdisx+gc,khá,21/11/2017
2f08e330xpvaibaexe9kdsvv3crkmcuajggb+quv,trung bình khá,19/01/2018
c76005a8xpvaibaexe/x/wixypgyag54zpujwgey,trung bình khá,19/01/2018
5032dd33xpvaibaexe9x5bpekoa0mil88xvsir4r,khá,19/01/2018
81f211bexpvaibaexe9xnw4t0gpgx1aapdjiipdq,khá,19/01/2018
12a9523fxpvaibaexe+lwq621apacfiody2wojet,khá,19/01/2018
cf64ef5dxpvaibaexe+phkfqb0+xj/i3djee18vw,khá,19/01/2018
99325c17xpvaibaexe8wlx2/dthdaux2r9ibwf/q,khá,19/01/2018
eafb8611xpvaibaexe+wmtnhlfgiwhutxutju+op,khá,19/01/2018
5688ef7bxpvaibaexe8wmpkqnq7j6n3au2dj/ayn,khá,19/01/2018
97c2c03fxpvaibaexe+phkfqb0+xj2fdnxqs9az5,khá,19/01/2018
bc4d7362xpvaibaexe/zhdidegqcttuojqwtyjvx,khá,19/01/2018
9ef161a4xpvaibaexe+gstdvgy5pditxguafuv/2,khá,19/01/2018
741baeacxpvaibaexe80ggmwunekt1wc4lrex8cx,trung bình khá,19/01/2018
bb1a9ef5xpvaibaexe/uh+ehskmsjqysgck5fhrj,trung bình khá,19/01/2018
f03b1465xpvaibaexe97hu2rthdnnbrrvp91hipv,giỏi,19/01/2018
c0190846xpvaibaexe/k6d36/fqcee9fn5ecb80e,giỏi,19/01/2018
04f89839xpvaibaexe8ge2uhv4j4b7n8hgeptcln,giỏi,19/01/2018
302c659fxpvaibaexe80ggmwunekt9hqe57p7s6c,khá,19/01/2018
37930ad7xpvaibaexe9ctfsnmbfiz8i9khqmn+p1,khá,19/01/2018
7de2e094xpvaibaexe/ji2wenvgp6jb8dx018brq,giỏi,19/01/2018
ff601afcxpvaibaexe93peysajovk+or7t0uzryf,khá,10/04/2018
b646c3c8xpvaibaexe83v/kfvw2bbvmhvt6fez4k,khá,10/04/2018
dee53b1axpvaibaexe+vl6q6thz0nu5juvpb1ljh,trung bình khá,10/04/2018
bcc346c2xpvaibaexe+gstdvgy5pdhgo3+5ztm70,khá,10/04/2018
62654f5dxpvaibaexe9jjgnhrmbjfpizxxezlnxy,khá,10/04/2018
1f7628f8xpvaibaexe9aucnq7/14aoyjtugyani7,giỏi,10/04/2018
a465b59bxpvaibaexe99goti/hwjhtcvzihi+eic,khá,10/04/2018
149bdd84xpvaibaexe9ctfsnmbfiz6gm1eejysf8,giỏi,10/04/2018
7259e977xpvaibaexe86736b6ol+/preemy8fts4,khá,10/04/2018
91c557bbxpvaibaexe9x5bpekoa0mhzvi3xnxife,khá,10/04/2018
ab4d8f99xpvaibaexe/ykn5ysyyl7ejerjajk5l+,giỏi,10/04/2018
0c4baf73xpvaibaexe9mq7mbxxp/m/xak3s0gd7g,khá,10/04/2018
d55ebad9xpvaibaexe9z67almz7y5tkcxws/xrjc,giỏi,10/04/2018
33540bd5xpvaibaexe+p6zzp7rb5oczdb2rzfyfl,khá,10/04/2018
85a1ef64xpvaibaexe/asavnwdrs7adwg/eutygp,giỏi,10/04/2018
8dd54882xpvaibaexe+lo6ejkhwaqfudan2pbvrw,khá,10/04/2018
0e631785xpvaibaexe9x5bpekoa0mgpwttwg2rv7,khá,10/04/2018
809877dcxpvaibaexe8/3inqysorb/0vloiti8og,khá,10/04/2018
6243a4c3xpvaibaexe8y+/3ur2pktkxbgdambgvn,khá,10/04/2018
b4303cd0xpvaibaexe+nzbq3b0xehvoljxuzryzx,giỏi,10/04/2018
1369cc1cxpvaibaexe/lh6v1xxtkjbwci0v6qdc2,giỏi,10/04/2018
a1fd63b1xpvaibaexe8s1xx8dwm0qunol2/gjkw1,khá,10/04/2018
