mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,tinhtrang,nambd
b3024a0dxpvaibaexe++b0jycbxa1f/t+o6kpxjd,2001.0,1.0,bình phước,htcl2019.1,httt,clc,14.0,d480104,5.0,2019.0
04cd33ebxpvaibaexe++b0jycbxa1lac7v3dyd0t,2001.0,1.0,hồ chí minh,khcl2019.1,khmt,clc,14.0,d480101,1.0,2019.0
9818736axpvaibaexe++b0jycbxa1iotopde2+mu,2001.0,1.0,quảng bình,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
8f52cafdxpvaibaexe++b0jycbxa1lgp2pqgxqic,2001.0,1.0,phú yên,ktmt2019,ktmt,cqui,14.0,d520214,1.0,2019.0
7b7f993cxpvaibaexe++b0jycbxa1dlreliuwrpr,2001.0,0.0,đồng nai,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
b13f6753xpvaibaexe++b0jycbxa1kejvqfeyw5j,2001.0,0.0,hồ chí minh,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
56587d9cxpvaibaexe++b0jycbxa1d+9n1ernags,2001.0,1.0,hồ chí minh,mmcl2019.1,mmt&tt,clc,14.0,7480102,1.0,2019.0
6830fbdfxpvaibaexe++b0jycbxa1h7ukend7avi,2001.0,1.0,vĩnh long,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
eba37443xpvaibaexe++b0jycbxa1i08yidcevqb,2001.0,1.0,bình định,mmcl2019.1,mmt&tt,clc,14.0,7480102,5.0,2019.0
b0d11834xpvaibaexe/hd2nfsms4vegzmarolxb5,2001.0,1.0,bến tre,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
88452e23xpvaibaexe/hd2nfsms4vownwn7xovom,2001.0,1.0,bến tre,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
16424e36xpvaibaexe/hd2nfsms4vpf6mbfpnkbj,2001.0,1.0,hồ chí minh,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
bfb9aa3expvaibaexe/hd2nfsms4vmy4azjriys6,2001.0,1.0,hồ chí minh,mtcl2019.1,ktmt,clc,14.0,d520214,2.0,2019.0
3ad562f2xpvaibaexe/hd2nfsms4vhkkcoaypecj,2001.0,1.0,nghệ an,cttt2019.1,httt,cttt,14.0,d480104,1.0,2019.0
c6beedebxpvaibaexe/hd2nfsms4vjmeohtotdvd,2001.0,1.0,đồng nai,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
52cb354dxpvaibaexe/hd2nfsms4vgdy64bctrs/,2001.0,1.0,tiền giang,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
da9a7654xpvaibaexe/hd2nfsms4vb5mcuaiwy45,2001.0,1.0,quảng nam,atcl2019.1,mmt&tt,clc,14.0,d480299,1.0,2019.0
6a0b3173xpvaibaexe8c3lblh2dnngefvwo5ag4w,2001.0,1.0,hồ chí minh,mmcl2019.1,mmt&tt,clc,14.0,7480102,1.0,2019.0
f9d14729xpvaibaexe8c3lblh2dnnnphhdytjj18,2001.0,1.0,hồ chí minh,khcl2019.1,khmt,clc,14.0,d480101,2.0,2019.0
0018c59cxpvaibaexe8c3lblh2dnnih+syglosua,2000.0,1.0,cà mau,khcl2019.1,khmt,clc,14.0,d480101,1.0,2019.0
6d3fe28axpvaibaexe8c3lblh2dnnvek8cqeo+pv,2001.0,1.0,đồng nai,mtcl2019.1,ktmt,clc,14.0,d520214,1.0,2019.0
0f0b3880xpvaibaexe8c3lblh2dnnucgr/kirznp,2001.0,1.0,hồ chí minh,mmcl2019.1,mmt&tt,clc,14.0,7480102,1.0,2019.0
2b84933dxpvaibaexe8c3lblh2dnnhmatfge0l+c,2001.0,1.0,long an,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
1672b406xpvaibaexe8c3lblh2dnngamfrwpe5f9,2001.0,0.0,đồng nai,khmt2019,khmt,cqui,14.0,d480101,1.0,2019.0
da3d9587xpvaibaexe8c3lblh2dnnpem7mndexyf,2001.0,0.0,quảng ngãi,attt2019,mmt&tt,cqui,14.0,d480299,1.0,2019.0
e955672expvaibaexe+vudgg5hndv0w7hq6pf55r,2001.0,1.0,an giang,mtcl2019.1,ktmt,clc,14.0,d520214,2.0,2019.0
