mssv,tinhtrang,hocky,namhoc
ac17a2ebxpvaibaexe+ltcxpm838vtwwvusjrtsd,2.0,2.0,2016.0
0f633f90xpvaibaexe9o/luqxb5f/3wdmeffvbke,2.0,2.0,2016.0
789be82dxpvaibaexe/nrwqjpac0mh7z5b/f4f4y,2.0,2.0,2016.0
f0da4e5bxpvaibaexe88uewilvalgceo6q/ie/fa,2.0,2.0,2016.0
005116e7xpvaibaexe8vdv75e6kcrk07zn1wf/t8,2.0,2.0,2016.0
68a9f6e0xpvaibaexe+wjq/eosknhsffr3hqfjz7,2.0,2.0,2016.0
0a275ef0xpvaibaexe9j81k8mh0oj07f7m1swtm7,2.0,2.0,2016.0
7a877b93xpvaibaexe/dmvqguzybhkb1sk3fzsov,2.0,2.0,2016.0
ff1f91c6xpvaibaexe9qjdm9ne85ig8enj2bg8bp,2.0,2.0,2016.0
e8b314e9xpvaibaexe/gp74oajxkejbsek9q36ww,2.0,2.0,2016.0
62a950a6xpvaibaexe8yzz/8qutgdv/tdzlof+yc,2.0,2.0,2016.0
14f36c86xpvaibaexe+e+n9mgynejx876keey376,2.0,2.0,2016.0
f7aef87fxpvaibaexe9tsnflfdewaq2i5ivdc2ny,2.0,2.0,2016.0
b2895e1bxpvaibaexe+k2gcw0rzzls5qi5kjx1wi,2.0,2.0,2016.0
c545722axpvaibaexe9e+yojsz6hocejug3fpsq5,2.0,2.0,2016.0
7afd7535xpvaibaexe8y6/rmxzrwbxih5hexe283,2.0,2.0,2016.0
891f156cxpvaibaexe/wvgrdnvcyf5jlokwpgxly,2.0,2.0,2016.0
ff9bcacdxpvaibaexe9a9whb728zil656mdf6zew,2.0,2.0,2016.0
8405ab7axpvaibaexe8csuzma4ok0sccokpnzj1+,2.0,2.0,2016.0
387e2efexpvaibaexe96k1ab3b4cksj8mkkciukn,2.0,2.0,2016.0
342257eaxpvaibaexe/aqmxydlkhr3sjnqbzsjdf,2.0,2.0,2016.0
b4df0e0bxpvaibaexe9lf2o7vejwnjznp3xerpyn,2.0,2.0,2016.0
c1bb7059xpvaibaexe8ydgsbcmjqa7/xeotxcjt3,2.0,2.0,2016.0
e670c383xpvaibaexe/zhdidegqctilqaraqk+wv,2.0,2.0,2016.0
fcf45d05xpvaibaexe+phkfqb0+xj1k496g8bne/,2.0,2.0,2016.0
d5ac7162xpvaibaexe/caex4rna5qunjfyjc1j1t,2.0,2.0,2016.0
9de3aa6dxpvaibaexe+nmgqbvgcjj/cdb85eyxzc,2.0,2.0,2016.0
387d399axpvaibaexe/s5mchdnrlm+cxikmavkbo,2.0,2.0,2016.0
91090a58xpvaibaexe/twrh8x8eyg72wdhvxbsqi,2.0,2.0,2016.0
34d2366bxpvaibaexe9hszsdesat0raofevapl9y,2.0,2.0,2016.0
8a09d1dfxpvaibaexe/kmtcr6bhausp9eatq9iqh,2.0,2.0,2016.0
ad4f8f98xpvaibaexe+wjq/eosknhwafdl7ih9lt,2.0,2.0,2016.0
d1d177eaxpvaibaexe8dee4ta8wghwsqnrzsv5e9,2.0,2.0,2016.0
fda9dea1xpvaibaexe+tqjlvjoj4bbq7gu36vta9,2.0,2.0,2016.0
231393b0xpvaibaexe+xw+0gojor0pk5j6oaawo7,2.0,2.0,2016.0
1a57d711xpvaibaexe8dzib3odxynish6zkkfvzw,2.0,2.0,2016.0
8136d1c7xpvaibaexe9rbno8knvpdylhjwamh4f3,2.0,2.0,2016.0
18d2231expvaibaexe8lx4hhykrfzihlc2c5x1wp,2.0,2.0,2016.0
6ea715e1xpvaibaexe9estqu9oocifrpc/9jwyjr,2.0,2.0,2016.0
