mssv,xlhv_1,xlhv_2,xlhv_3,xlhv_4,xlhv_5,xlhv_6
10bc2077xpvaibaexe+jf4o+sekcgnvyuigtmxfu,0,0,1,1,1,1
10e59e76xpvaibaexe998fvikzcjir3mnm3foo5p,0,0,0,1,1,1
119c7562xpvaibaexe/rr9ujzgoyekfpmwfutnpz,0,0,0,0,1,2
11dd1d9fxpvaibaexe/cisftemjhamr2fs9wf2c0,0,0,1,2,2,2
1248ca30xpvaibaexe+ee/bnoydjsjrguqpnjoq6,0,0,1,1,1,1
124e9567xpvaibaexe9zgba8fckekhc5+knm2ulp,0,0,0,0,1,1
124ee34axpvaibaexe/iosun/i5gh23geykxyh8c,0,1,1,2,3,3
1308511expvaibaexe87zpkgv/pdbpae6yu8ahwd,0,1,1,1,1,2
137fe0d5xpvaibaexe//euaw4j38k86ozexfjow+,0,0,0,0,1,1
13a871d1xpvaibaexe92mw4zeaxz0xyhhlwvwh2m,0,0,1,2,2,2
13f62701xpvaibaexe/kpp1fv6ua53o7/yboyvah,0,0,1,1,2,2
14f36c86xpvaibaexe+e+n9mgynejx876keey376,0,0,0,1,1,1
15121c7cxpvaibaexe9xlm9bjmqfkfixg7kb9i6r,0,1,2,2,2,2
152920e2xpvaibaexe8srut3batkgaremyi/mays,0,0,0,0,1,1
1567ef81xpvaibaexe+l62icawnoypboqkyjvkxq,0,0,1,1,1,1
15b88849xpvaibaexe+9toqtj+tlmgs05rmbfjt2,0,0,1,2,2,2
1617ad15xpvaibaexe9asx2ykqk5awkovvf31mk7,0,0,1,2,2,2
164fce73xpvaibaexe8qh9frndk+mco5qzpzeyxe,0,0,1,2,3,3
16c30ceexpvaibaexe8jfpqse3kv6uviaqvdb/gu,0,1,2,3,3,3
172c622dxpvaibaexe+43hjfrferjjs337wg3omj,0,1,2,2,2,2
173a83efxpvaibaexe+si2uhc5cmevbllvcebgu/,0,0,1,1,1,1
17416684xpvaibaexe88l+jen4tpm1dcv0jkw40c,0,1,1,1,1,1
175251b1xpvaibaexe/cdmtnbauoultbugctxm/y,0,0,0,0,0,1
17a0f940xpvaibaexe/aqmxydlkhr9bedi60v7bk,0,0,1,2,2,2
17c0ba29xpvaibaexe+g4b5cywzjwdhw/ykkfahu,0,0,1,2,2,2
17e2923dxpvaibaexe9kkddkot5ifjqgt9dxgjrj,0,0,0,0,1,1
17ffc7ccxpvaibaexe+wcrilhv+1xwb91jd9tqf4,0,0,1,2,3,4
18095340xpvaibaexe8yk/xntbukzraizthb4zis,0,0,0,1,1,1
18367bf6xpvaibaexe9kkddkot5ifkkb1a7foxv+,0,0,0,0,1,1
18a5e53dxpvaibaexe9iov3kwpg5dtxd7sek6lpt,0,0,0,1,1,1
18b0a997xpvaibaexe+tkly40atmdy+i2lrutpen,0,0,0,0,1,2
18bc3150xpvaibaexe+ralerolzghwzzvcuduyjh,0,0,0,1,2,2
18d2231expvaibaexe8lx4hhykrfzihlc2c5x1wp,0,0,0,1,2,2
19220744xpvaibaexe9cuss4f6r57fg/s/hcyntc,0,0,1,1,1,1
1979fe76xpvaibaexe9wxm0wjsxokvna62sdccgp,0,0,1,1,1,2
1984ea28xpvaibaexe+gnarchabwrwzgf7ej+ac+,0,1,2,3,3,3
19beca3axpvaibaexe+ggliw+afajbiwwkvbzj5o,0,0,1,1,1,1
19e0ee8fxpvaibaexe97wmuqtyuv7djordmkvxkl,0,0,0,0,1,1
1a57d711xpvaibaexe8dzib3odxynish6zkkfvzw,0,0,0,0,0,1
1b8231acxpvaibaexe9fr9h5gpmfnfyedpn1huid,0,1,2,2,2,2
1bc38497xpvaibaexe/rr9ujzgoyets85kfiqnbx,0,0,0,0,1,1
1c404c8fxpvaibaexe8p5yvhqtpes4pecqw39/sx,0,0,0,0,0,1
1c5409b8xpvaibaexe+/1kyxp+fweaeoybmrmhfs,0,1,2,2,2,2
1cb6be2bxpvaibaexe+duf+563kbvvnx1z39psj8,0,0,1,1,1,1
1cf12947xpvaibaexe8pr9lkerucfzlm3d437wec,0,0,0,0,1,1
1d7f955bxpvaibaexe9phs03bfe3hc3h70o4nknm,0,0,0,0,0,1
1db17a69xpvaibaexe/qwjvabg0+vft70jogninj,0,0,0,0,1,1
1dd40f83xpvaibaexe/a0c8nkwg+cnjnfs5fffxk,0,0,1,1,1,1
1de39381xpvaibaexe80nxgyyvttlvu8mdxes0fp,0,0,1,1,1,1
1e458d16xpvaibaexe92c4qaj9kvh6/s4cneqhxl,0,0,1,1,1,1
1ea57fe2xpvaibaexe8kujneatws84upb9ticbqb,0,0,1,1,1,1
1f7494efxpvaibaexe9suz+dc1ml5elrd7ydmdwi,0,1,2,2,2,2
1fa0b083xpvaibaexe/q6c3bndaquely0cmhno+m,0,0,0,1,1,1
1fdd03e9xpvaibaexe+ssm9d7qpetc02ns9/tnfk,0,0,1,1,1,1
2007220bxpvaibaexe9syd7vfew2qyohh5rxf8a7,0,0,1,1,1,1
2086199expvaibaexe9qk6hduwkqxycenefk6wn/,0,0,0,0,0,1
2161dc77xpvaibaexe/iosun/i5gh7bbvfgf4qv0,0,0,1,1,1,1
21825938xpvaibaexe8xlyagr26h4zxxu5a+hljk,0,0,1,1,1,1
22202b9fxpvaibaexe9rxq3eqecngygcmkgofwov,0,0,0,0,1,2
229b3a7fxpvaibaexe+f5/cncorl8fozoaezdvze,0,0,1,2,2,2
231393b0xpvaibaexe+xw+0gojor0pk5j6oaawo7,0,0,0,0,0,1
23205dfaxpvaibaexe90e3nxw1nyaqj090ndri+u,0,0,1,2,3,3
23244532xpvaibaexe/upr0e3tetqklwgpi6dhhh,0,0,1,1,1,1
23257a45xpvaibaexe+nyyotv4fwdx/iqta3kp4p,0,1,2,2,2,2
238e4a5cxpvaibaexe9mpn5ivdinr+4dnes1zyx7,0,0,1,1,1,1
23d78cf6xpvaibaexe8ndftcadx+eiaxgvgsf3/b,0,0,0,1,1,1
23ea7573xpvaibaexe/cisftemjhaoini5m49fl+,0,1,2,3,3,3
2472a653xpvaibaexe9exxmvkemojbd5wbw2yqnx,0,0,0,1,2,3
24ab6739xpvaibaexe+jqfayvnobxjpws75mqc/0,0,0,1,1,1,1
24b82902xpvaibaexe9rbqr8nwnz2puefglqxjgc,0,1,2,3,3,3
25445a9cxpvaibaexe+02rynj/uixyib4006b5wp,0,0,0,0,0,1
254d76e5xpvaibaexe+djyplaxkux4m0qotddzim,0,0,1,2,3,3
256844d6xpvaibaexe92uubt7zfwrt/g0tsi3mpf,0,0,0,0,1,1
265d05f3xpvaibaexe8qgrlcblbl2m+opn9cljqo,0,0,0,0,1,2
269a6330xpvaibaexe8ammuwimhl4vfi0ozjfgky,0,0,0,0,0,1
26d13f40xpvaibaexe9mpq5whbyspjjnjvfeomj6,0,0,1,1,2,2
271b286axpvaibaexe9cfhtkhod3yfy0onanvlxt,0,0,1,1,1,1
27c73435xpvaibaexe9mnmzps14vgeqi0k4idvsw,0,1,1,1,1,1
28142a5cxpvaibaexe+0dwp+qxloyvm0snhyvyqo,0,0,0,0,1,2
282249e0xpvaibaexe8a4mdanazfzkle4qiau/rh,0,0,0,0,1,1
282ca119xpvaibaexe9dkitjhf3qts8bwsvwumgw,0,0,0,1,1,1
284a2135xpvaibaexe+addq9ddabo0fmh2wgcqkx,0,0,0,0,1,2
28a90bb1xpvaibaexe/1obfbwrsd54ynwsleawum,0,0,0,0,0,1
28f6e5e2xpvaibaexe8ubgvvsbkskghdfrn4cedg,0,0,1,1,1,1
28ffb16bxpvaibaexe/huuivo8ucr6f4hdajmdvh,0,0,1,1,1,2
293ad60dxpvaibaexe+tuhadewrox+cnjmdynzhl,0,0,0,1,1,1
297cc4ccxpvaibaexe9zp44tyfcbsm+woxmqoj0t,0,0,1,2,2,2
29df8880xpvaibaexe8qh9frndk+mdjj6ymuts3p,0,1,1,1,1,1
2a189ef7xpvaibaexe8l2spbjihvxtu9bggxa/li,0,0,0,1,1,1
2a1a428cxpvaibaexe9pxjcjrat8xiyzocamfi/r,0,1,2,2,2,2
2a74f88bxpvaibaexe8n5o9ryaxum/skftagmfhd,0,0,1,1,2,3
2ab355a3xpvaibaexe9wgqqll7rkk9egm3vumrzn,0,0,1,1,1,1
2b578231xpvaibaexe9rv3kg6cpldammozuvjmwr,0,0,0,1,2,2
2b8081efxpvaibaexe8t2+ly9ehsfsznbw+e7ewx,0,0,0,0,1,1
2bdd7658xpvaibaexe+9uxuadizyijflosxuxevw,0,0,1,1,1,1
2c2d5c8axpvaibaexe/cezixfrxnldnzsugnuqeb,0,0,0,0,1,1
