mssv,hocky,namhoc,drl,rank_drl
2c674c46xpvaibaexe8y+/3ur2pktognxs8ofvnz,2,2013,54,Trung Binh
a7916d60xpvaibaexe+nzbq3b0xehxdvky778k5c,2,2013,60,Trung Binh
6ebfac96xpvaibaexe/xbblewrhgqxino9yzvs2d,2,2013,80,Gioi
3b334337xpvaibaexe+9gfx9awrorphzn84kn1g3,2,2013,73,Kha
9a84bbe7xpvaibaexe8ydgsbcmjqa6hvcbpa5sda,2,2013,54,Trung Binh
dafce097xpvaibaexe+z7kfnhylttksb/kdm5tuz,2,2013,91,Xuat Sac
ebb79892xpvaibaexe99goti/hwjhdmd8xez4jnd,2,2013,99,Xuat Sac
931c7551xpvaibaexe9ystifngomwrbirvzkrprw,2,2013,100,Xuat Sac
a05f7b75xpvaibaexe97hu2rthdnnats1tmydhsj,2,2013,55,Trung Binh
4afe5a8expvaibaexe9mlbi3ccq2bmqcbjt1z6h0,2,2013,89,Gioi
4185501cxpvaibaexe9hkuc7sboljiazpw2a5afk,2,2013,89,Gioi
a3aa35cexpvaibaexe9hkuc7sboljovythh2eau+,2,2013,68,Kha
2f7887f7xpvaibaexe/bqa0y8r3trdledx8jxg9h,2,2013,100,Xuat Sac
1a44afdbxpvaibaexe9bx5czuia9z94nqdrzpjbc,2,2013,100,Xuat Sac
0cf59b91xpvaibaexe8k9ad0yxzupjr72f7dydz1,2,2013,80,Gioi
96e64f9bxpvaibaexe8k9ad0yxzupruwcimfmr/n,2,2013,73,Kha
088767b5xpvaibaexe+y5cb/5gt3mazxw0jdh9ya,2,2013,80,Gioi
074d8586xpvaibaexe8s1xx8dwm0qvmydwkqi9z8,2,2013,88,Gioi
869c382dxpvaibaexe+6mn9fow2mqqya+xnxt/o1,2,2013,62,Trung Binh
d164ad41xpvaibaexe/+pcsgi7ykergju4dhmegp,2,2013,58,Trung Binh
17abff8bxpvaibaexe9ystifngomwyziolufgf2y,2,2013,93,Xuat Sac
fd4d8d5expvaibaexe9mlbi3ccq2bcl9gcft6mvc,2,2013,80,Gioi
e9bbdefaxpvaibaexe/dy4k4yiqpocegcj6wyi83,2,2013,88,Gioi
e4659083xpvaibaexe/wso41+3xfkethxsnltxqd,2,2013,85,Gioi
41b3f412xpvaibaexe9vickmsmm7nxtj8jg4gzhv,2,2013,96,Xuat Sac
246bfb8axpvaibaexe93peysajovk7f1tlf/mfro,2,2013,64,Trung Binh
ff601afcxpvaibaexe93peysajovk+or7t0uzryf,2,2013,100,Xuat Sac
c1a9fd65xpvaibaexe8ge2uhv4j4bztlfcscqmww,2,2013,66,Kha
b35c4d81xpvaibaexe+4hxkfaqwuhmpsx+ypsjqx,2,2013,65,Kha
0a2744acxpvaibaexe+4hxkfaqwuhjdfgwekvxxz,2,2013,69,Kha
f8e79c58xpvaibaexe9p07hcrvmhcrobnyhyqd/n,2,2013,61,Trung Binh
9d24935axpvaibaexe9p07hcrvmhcak9iqtze/ls,2,2013,72,Kha
952c9bd7xpvaibaexe9hpqqhqoopyvkufzf5blys,2,2013,73,Kha
e997d336xpvaibaexe+cd1fkelqxl3gg+iexlrll,2,2013,54,Trung Binh
d06a6062xpvaibaexe+lo6ejkhwaqfw61nrig7m4,2,2013,77,Kha
5032dd33xpvaibaexe9x5bpekoa0mil88xvsir4r,2,2013,100,Xuat Sac
0d5f945expvaibaexe8ckeix0kseemkbwidrc9so,2,2013,98,Xuat Sac
741baeacxpvaibaexe80ggmwunekt1wc4lrex8cx,2,2013,100,Xuat Sac
3509a991xpvaibaexe80ggmwunekt+evwuzt6lqj,2,2013,64,Trung Binh
694330bcxpvaibaexe83etin4mi2ngvw488wcp/k,2,2013,59,Trung Binh
a7930fd4xpvaibaexe86736b6ol+/nwyaivhptcm,2,2013,49,Yeu
e5e0d43fxpvaibaexe8/3inqysorb3l2ir3l7h2w,2,2013,70,Kha
