mssv,dien_tt,lop12_matinh,truong_thpt
f832105bxpvaibaexe+cd1fkelqxl8dha7yinstm,thpt,25.0,thpt
209dffa3xpvaibaexe+cd1fkelqxl0w/ciugdc4i,thpt,2.0,thpt
2527bab9xpvaibaexe+cd1fkelqxl9jgstboq3t8,thpt,35.0,thpt
3e437e83xpvaibaexe+cd1fkelqxl3amjmxrtddl,thpt,37.0,thpt
e997d336xpvaibaexe+cd1fkelqxl3gg+iexlrll,thpt,47.0,thpt
6eb4408fxpvaibaexe+cd1fkelqxl06nwb8jxnux,thpt,42.0,thpt
4d645550xpvaibaexe+cd1fkelqxl9313y/yapxl,thpt,42.0,thpt
47140b5bxpvaibaexe+cd1fkelqxl341hodw+e7i,thpt,30.0,thpt
8719aff0xpvaibaexe+cd1fkelqxlxhcg1eahaje,thpt,34.0,thpt
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,thpt,25.0,thpt
a0cbac25xpvaibaexe/pgaannwvbuig+w572qfzr,thpt,2.0,thpt
d39ebba2xpvaibaexe/pgaannwvbuh5ucb2oerfm,thpt,38.0,thpt
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,thpt,54.0,thpt
479e77a5xpvaibaexe/pgaannwvbunsider/n3m6,thpt,2.0,thpt
8219ea1dxpvaibaexe/pgaannwvbuawbugiapcg8,thpt,44.0,thpt
5b6eee16xpvaibaexe/pgaannwvbukb+697alta7,thpt,31.0,chuyên
4bf55c16xpvaibaexe/pgaannwvbulyxtwnjnzcf,thpt,2.0,thpt
d8b81312xpvaibaexe/pgaannwvbuifmrv3br2wn,thpt,2.0,thpt
a0e35b97xpvaibaexe/pgaannwvbugqebtzipkbn,thpt,41.0,thpt
5e0fc4ebxpvaibaexe/pgaannwvbuczkileflh7i,thpt,63.0,thpt
2d110b13xpvaibaexe+lo6ejkhwaqqmgtsf0se6i,thpt,43.0,gdtx
8688239bxpvaibaexe+lo6ejkhwaqdxlz0hnoymx,thpt,2.0,thpt
d06a6062xpvaibaexe+lo6ejkhwaqfw61nrig7m4,thpt,56.0,thpt
8dd54882xpvaibaexe+lo6ejkhwaqfudan2pbvrw,thpt,2.0,thpt
553f83d0xpvaibaexe+lo6ejkhwaqxmbzakiceyv,thpt,2.0,chuyên
f257be3expvaibaexe+lo6ejkhwaqx9v5oomnekz,thpt,41.0,thpt
4d3a7564xpvaibaexe+lo6ejkhwaqxs675wwbm48,thpt,50.0,chuyên
51bd86dfxpvaibaexe+lo6ejkhwaqbdd3ainskar,thpt,52.0,thpt
c83a25dcxpvaibaexe9x5bpekoa0mpwrb2a9cxkr,thpt,63.0,thpt
a2a984f7xpvaibaexe9x5bpekoa0mp7uv1irtaed,thpt,51.0,thpt
91c557bbxpvaibaexe9x5bpekoa0mhzvi3xnxife,thpt,2.0,thpt
0e631785xpvaibaexe9x5bpekoa0mgpwttwg2rv7,thpt,2.0,thpt
85fa5549xpvaibaexe9x5bpekoa0msfo9rqkadmb,thpt,44.0,thpt
5032dd33xpvaibaexe9x5bpekoa0mil88xvsir4r,thpt,31.0,thpt
49daaf86xpvaibaexe9x5bpekoa0mvchmz6rxbhe,thpt,35.0,thpt
9a277123xpvaibaexe9x5bpekoa0mmvf3uziq5oi,thpt,47.0,thpt
da4648baxpvaibaexe8ckeix0kseehu30caak2wt,thpt,56.0,thpt
4bbc8929xpvaibaexe8ckeix0kseec2d6tqzpwfy,thpt,51.0,thpt
0df7e48fxpvaibaexe8ckeix0kseel2w5fd8xm6m,thpt,41.0,thpt
0d5f945expvaibaexe8ckeix0kseemkbwidrc9so,thpt,49.0,thpt
93a9cf9cxpvaibaexe8ckeix0kseebrxpslhxsvc,thpt,35.0,thpt
e4b6df8fxpvaibaexe8ckeix0kseeovnfnmexxan,thpt,38.0,thpt
1ad297ddxpvaibaexe8ckeix0kseeaegfbwnr/en,thpt,28.0,thpt
6ecc84e3xpvaibaexe80ggmwunektx6palidxbtb,thpt,41.0,chuyên
d3602269xpvaibaexe80ggmwunekt3wj11uigulq,thpt,48.0,thpt
302c659fxpvaibaexe80ggmwunekt9hqe57p7s6c,thpt,53.0,thpt
9060ae5fxpvaibaexe80ggmwunekt7ow9cjiqrpl,thpt,48.0,thpt
741baeacxpvaibaexe80ggmwunekt1wc4lrex8cx,thpt,48.0,thpt
3509a991xpvaibaexe80ggmwunekt+evwuzt6lqj,thpt,42.0,thpt
11f38b68xpvaibaexe80ggmwunekt2/+0d+ftnad,thpt,2.0,thpt
740bf475xpvaibaexe80ggmwunekt0dmgogib8ko,thpt,0.0,khác
46187904xpvaibaexe80ggmwunekt+rbnozgeobh,thpt,50.0,thpt
8c0e9865xpvaibaexe80ggmwunekt1erejxtk1w6,thpt,34.0,thpt
cb86cee4xpvaibaexe83etin4mi2njakllhqpqif,thpt,37.0,thpt
6d3a87a7xpvaibaexe83etin4mi2nuc2ln7/pp+p,thpt,28.0,thpt
3cb24347xpvaibaexe83etin4mi2ntso94rp+at8,thpt,2.0,thpt
314a9efdxpvaibaexe83etin4mi2ntxuuylz7okp,thpt,2.0,thpt
e05f2deaxpvaibaexe83etin4mi2nrg4zhf61jn+,thpt,52.0,thpt
694330bcxpvaibaexe83etin4mi2ngvw488wcp/k,thpt,35.0,thpt
03b1bf87xpvaibaexe83etin4mi2ns5qclkpljkc,thpt,37.0,thpt
6920b9aaxpvaibaexe83etin4mi2ns6nzhluaihe,thpt,38.0,chuyên
ab1f6aa8xpvaibaexe83etin4mi2nszto21zu7z9,thpt,35.0,thpt
73fcd503xpvaibaexe/ykalync3m942m9zzkluod,thpt,41.0,thpt
b8b283d5xpvaibaexe/ykalync3m91sqm4cv+tqd,thpt,41.0,thpt
2f237aa9xpvaibaexe/ykalync3m967dom4wk2ij,thpt,2.0,thpt
f309234expvaibaexe/ykalync3m9+ibo6izj0cn,thpt,44.0,thpt
81d2ab1fxpvaibaexe/ykalync3m9zttf89k7owj,thpt,49.0,thpt
5792ef1axpvaibaexe/ykalync3m90v7yzvt+oyp,thpt,47.0,thpt
001bb05expvaibaexe/ykalync3m92bzm+vhzyc0,thpt,41.0,thpt
4283e94dxpvaibaexe/ykalync3m95g1fyl7q9dg,thpt,2.0,thpt
2d469f82xpvaibaexe/ykalync3m9yanvuerkywr,thpt,48.0,thpt
85c41091xpvaibaexe9ikirwqei6/e3o02jlnmlt,thpt,35.0,gdtx
29dac8e5xpvaibaexe9ikirwqei6/aabaazmbpha,thpt,2.0,thpt
42a0a8eexpvaibaexe9ikirwqei6/h1clhjwal6i,thpt,56.0,thpt
c64d90e5xpvaibaexe9ikirwqei6/fxzkk7l9+s5,thpt,2.0,thpt
c4ef60b5xpvaibaexe9ikirwqei6/ntxytyp5ig8,thpt,2.0,thpt
08bc841dxpvaibaexe9ikirwqei6/l0wwllqs16x,thpt,2.0,thpt
6aef2ec0xpvaibaexe86736b6ol+/ewtijhvlvrj,thpt,2.0,thpt
f99ce6dexpvaibaexe86736b6ol+/o3zqu1aw1/c,thpt,53.0,thpt
e934bcd3xpvaibaexe86736b6ol+/mlj5vorqv8u,thpt,44.0,thpt
7259e977xpvaibaexe86736b6ol+/preemy8fts4,thpt,2.0,thpt
a7930fd4xpvaibaexe86736b6ol+/nwyaivhptcm,thpt,47.0,thpt
33f840bexpvaibaexe86736b6ol+/h7p3cx/tka4,thpt,2.0,thpt
7b2e75bdxpvaibaexe86736b6ol+/bczp68ockkb,thpt,54.0,thpt
678a7e53xpvaibaexe86736b6ol+/jgt4pokxwzn,thpt,43.0,gdtx
6f75613cxpvaibaexe8/3inqysorbxrmfjiedct7,thpt,51.0,thpt
5a122a3dxpvaibaexe8/3inqysorby1ytn00kxsc,thpt,30.0,thpt
2156dac0xpvaibaexe8/3inqysorb4spm8jam1aj,thpt,34.0,thpt
11d7fbb7xpvaibaexe8/3inqysorby7kyf2iznei,thpt,53.0,chuyên
41ebf544xpvaibaexe8/3inqysorb+za0ywmmptx,thpt,42.0,chuyên
9b47d5aexpvaibaexe8/3inqysorb2yc7gdxyezc,thpt,48.0,thpt
ffdfd671xpvaibaexe8/3inqysorb8gpuwsq8fwa,thpt,2.0,thpt
e5e0d43fxpvaibaexe8/3inqysorb3l2ir3l7h2w,thpt,2.0,gdtx
1d719539xpvaibaexe8/3inqysorb0av1qvzgoa5,thpt,48.0,thpt
809877dcxpvaibaexe8/3inqysorb/0vloiti8og,thpt,2.0,thpt
1a43fba2xpvaibaexe9lf2o7vejwngmxmytmcfqu,thpt,36.0,thpt
c02be079xpvaibaexe9lf2o7vejwnqkpnwio0vrs,thpt,42.0,thpt
6941edcfxpvaibaexe9lf2o7vejwnigzwdbexchf,thpt,48.0,thpt
3622e58bxpvaibaexe9lf2o7vejwnjkh+xdoxpbr,thpt,2.0,thpt
603115a9xpvaibaexe9lf2o7vejwnmxlsu7sojkq,thpt,2.0,thpt
a5889011xpvaibaexe9lf2o7vejwnht67pu11g7v,thpt,46.0,thpt
9c8782a5xpvaibaexe9lf2o7vejwnskij3b/kh8y,thpt,41.0,thpt
b4df0e0bxpvaibaexe9lf2o7vejwnjznp3xerpyn,thpt,63.0,thpt
17946c80xpvaibaexe9lf2o7vejwnojr7ptzczwm,thpt,4.0,chuyên
a27e2507xpvaibaexe+yu1j0ocviqqmevvgfizi+,thpt,2.0,thpt
61886879xpvaibaexe+yu1j0ocviqftuk2ebvhjz,thpt,48.0,thpt
dea3783expvaibaexe+yu1j0ocviqzor0fwybaoj,thpt,48.0,thpt
